#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
1,29/09/2017,2017,common dolphin,Delphinus delphis,Rosslare,Co. Wexford,52.27,-6.38,T102145,5035,2017_189,Seal Rescue Ireland -  Tony Murray -  Stephanie Levesque, YES
2,28/09/2017,2017,sperm whale,Physeter macrocephalus ,Mweenish Island Carna,Co. Galway,53.29,-9.84,L770282,5034,2017_188,Sean O'Callaghan -  Mary Einniu -  Proinsias Hernon -  Breandan Hernon, NO
3,17/09/2017,2017,Risso's dolphin,Grampus griseus,Kinvara Bay,Co. Galway,53.17,-8.987,M340138,5031,2017_186,Sabine Springer, NO
4,17/09/2017,2017,whale species,whale species,Cloonagh Beach Ballinfull,Co. Sligo,54.37,-8.62,G595470,5032,2017_187,Kevin Deering -  Aoife Hegarty -  Don Cotton, NO
5,10/09/2017,2017,pilot whale,Globicephala melas,Doonbeg,Co. Clare,52.749,-9.499,Q988674,5028,2017_184,Stephanie Levesque, YES
6,09/09/2017,2017,striped dolphin,Stenella coeruleoalba,Quilty,Co. Clare,52.818,-9.456,R018750,5029,2017_185,Simon Berrow, NO
7,06/09/2017,2017,dolphin species,dolphin species,Dingle Harbour,Co. Kerry,52.124,-10.261,V451993,5027,2017_183,Paddy O' Dwyer, NO
8,05/09/2017,2017,common dolphin,Delphinus delphis,Culdaff Inishowen Peninsula,Co. Donegal,55.295,-7.154,C537501,5026,2017_182,Trish Murphy -  Stephanie Levesque, NO
9,03/09/2017,2017,harbour porpoise,Phocoena phocoena,Skerries,Co. Dublin,53.577,-6.103,O256602,5025,2017_181,Nick O'Brien -  Brian Mc Nally -  Stiofan de Barra, NO
10,02/09/2017,2017,whale species,whale species,Muckross Head Donegal Bay,Co. Donegal,54.616,-8.584,G622743,5024,2017_180,Paul Hanna, NO
11,01/09/2017,2017,leatherback turtle,leatherback turtle,Ballycastle Bay,Co. Antrim,55.206,-6.234,D124413,5023,LBT01092017,Gary Burrows/DAERA, NO
12,30/08/2017,2017,pilot whale,Globicephala melas,Doogort Achill Island,Co. Mayo,54.01,-10.02,F675090,5021,2017_178,Suzanne Leahy, NO
13,30/08/2017,2017,common dolphin,Delphinus delphis,Falcarragh,Co. Donegal,55.177,-8.025,B984366,5022,2017-179,Alex Newton, NO
14,30/08/2017,2017,leatherback turtle,leatherback turtle,Renvyle ,Co. Galway,53.61,-10.05,L644641,5030,Lbt30082017,Dermot Breen, NO
15,25/08/2017,2017,striped dolphin,Stenella coeruleoalba,Maharees,Co. Kerry,52.3,-10.04,Q608186,5020,2017_177,Brian Mc Nally -  Fiacc O'Brolchain, NO
16,24/08/2017,2017,dolphin species possibly harbour porpoise,dolphin species possibly Phocoena phocoena,Inver Bay,Co. Donegal,54.647,-8.286,G815776,5016,2017_173,Deane James, NO
17,24/08/2017,2017,common dolphin,Delphinus delphis,Ballinskelligs,Co. Kerry,51.844,-10.24,V456680,5017,2017_174,Mick O' Connell, NO
18,23/08/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Inch Dingle Bay,Co. Kerry,52.142,-9.985,Q641007,5018,2017_175,Shaun Hennessy, NO
19,21/08/2017,2017,common dolphin,Delphinus delphis,Tramore,Co. Waterford,52.158,-7.141,S587010,5012,2017_169,Tony Larkin, NO
20,20/08/2017,2017,common dolphin,Delphinus delphis,Tralee Bay,Co. Kerry,54.246,-9.847,Q738120,5011,2017_168,Guy Hulbert -  Stephanie Levesque, NO
21,20/08/2017,2017,common dolphin,Delphinus delphis,Smerwick Harbour,Co. Kerry,52.216,-10.354,Q391097,5014,2017_171,Neil Mulcahy -  Nick Massett, NO
22,19/08/2017,2017,minke whale,Balaenoptera acutorostrata,Gweebarra Bay,Co. Donegal,54.888,-8.389,B750046,5010,2017_167,John Mc Kee -  Helen Stewart, NO
23,19/08/2017,2017,striped dolphin,Stenella coeruleoalba,Drumcliff,Co. Sligo,54.33,-8.62,G596430,5013,2017_170,Don Cotton, NO
24,19/08/2017,2017,harbour porpoise,Phocoena phocoena,Donabate,Co. Dublin,53.476,-6.117,O250489,5015,2017_172,Pat Mc Evoy, NO
25,18/08/2017,2017,striped dolphin,Stenella coeruleoalba,Carrickfinn Strand,Co. Donegal,55.057,-8.324,B792233,5019,2017_176,David Friel, YES
26,14/08/2017,2017,common dolphin,Delphinus delphis,Carrig Island Ballylongford,Co. Kerry,52.57,-9.5,Q979477,5004,2017_163,Joanne O'Grien -  Barry O'Donoghue -  Gareth Dee -  Amira Parkes -  Steve Robinson, YES
27,14/08/2017,2017,common dolphin,Delphinus delphis,Galway Bay,Co. Galway,53.27,-9.02,M321249,5005,2017_164,Rossa Meade -  Darren Craig -  Oleg Kelly -  Bernadette Donohue -  Gareth Mangan, NO
28,14/08/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Ballyvaughan Bay,Co. Clare,53.139,-9.22,M183105,5006,2017_165,Liam Mc Namara -  David Mc Namara, NO
29,14/08/2017,2017,common dolphin,Delphinus delphis,Carraroe,Co. Galway,53.24,-9.624,L916225,5009,L2017_011,Rory Mc Avinney, YES
30,13/08/2017,2017,common dolphin,Delphinus delphis,Cloghane,Co. Kerry,52.25,-10.16,Q524131,5003,2017_162,Stephanie Levesque -  Paddy O'Dwyer, NO
31,12/08/2017,2017,common dolphin,Delphinus delphis,Galway Bay,Co. Galway,53.209,-8.951,M364180,5001,2017_160,Stephanie Levesque, NO
32,12/08/2017,2017,common dolphin,Delphinus delphis,Galway Bay,Co. Galway,53.211,-8.945,M368182,5002,2017_161,Stephanie Levesque, NO
33,09/08/2017,2017,harbour porpoise,Phocoena phocoena,Southwest region,,52.614,-9.113,R246520,5000,2017_159,David Varian, NO
34,08/08/2017,2017,sperm whale,Physeter macrocephalus ,Miltown Malbay,Co. Clare,52.86,-9.433,R034798,4997,2017_157,Mags daly -  Aidan O'Sullivan -  Stephanie Levesque, NO
35,08/08/2017,2017,common dolphin,Delphinus delphis,Mullet Peninsula,Co. Mayo,54.21,-10.017,F684311,4999,2017_158,Aoife Foley -  Nuala Irwin -  Etienne Pouplard -  Ailbhe Kavanagh -  Bryony Manley -  Alejandro Piazzolla, YES
36,08/08/2017,2017,common dolphin,Delphinus delphis,Dunmanus Bay,Co. Cork,51.6,-9.608,V885400,5008,2017_166,Terry Southgate, NO
37,07/08/2017,2017,harbour porpoise,Phocoena phocoena,Galway Bay,Co. Galway,53.269,-9.055,M296248,4998,L2017_010,Ivan Alonso -  Simon Berrow, YES
38,03/08/2017,2017,harbour porpoise,Phocoena phocoena,Derrynane Bay,Co. Kerry,51.765,-10.15,V515591,4993,2017_155,Joska Laine, NO
39,01/08/2017,2017,common dolphin,Delphinus delphis,Cloghane,Co. Kerry,52.25,-10.16,Q524130,4994,2017_156,Louise Overy, YES
40,01/08/2017,2017,harbour porpoise,Phocoena phocoena,Portstewart,Co. Derry,55.187,-6.722,C814385,4995,N.I.2017_011,Alec McClay, NO
41,30/07/2017,2017,harbour porpoise,Phocoena phocoena,Inch Dingle Bay,Co. Kerry,52.13,-9.974,V648994,4991,2017_153,Eimear Cawley, NO
42,29/07/2017,2017,dolphin species,dolphin species,Miltown Malbay,Co. Clare,52.862,-9.432,R035800,4992,2017_154,David McNamara -  Eva Zanke -  Erik, NO
43,26/07/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Mullet Peninsula,Co. Mayo,54.161,-10.097,F629256,4990,2017_152,Simon Webb, NO
44,25/07/2017,2017,minke whale,Balaenoptera acutorostrata,Easky,Co. Sligo,54.293,-8.969,G368386,4988,2017_150,Sharon Woods, NO
45,25/07/2017,2017,whale species,whale species,Horn Head,Co. Donegal,55.196,-8.011,B992387,4989,2017_151,David McNamara, NO
46,24/07/2017,2017,dolphin species,dolphin species,Kenmare River,Co. Kerry,51.764,-9.786,V767583,4986,2017_148,Jennifer Reilly -  Kilian Murphy, NO
47,24/07/2017,2017,common dolphin,Delphinus delphis,Drumcliff,Co. Sligo,54.334,-8.64,G584430,4996,L2017_009,Miriam Crowley -  Don Cotton, YES
48,22/07/2017,2017,cetacean species,cetacean species,Minerstown Dundrum Bay,Co. Down,54.25,-5.72,J483360,4983,N.I.2017_010,Lorraine Gillan -  Dave Wall, NO
49,22/07/2017,2017,striped dolphin,Stenella coeruleoalba,Tralee Bay,Co. Kerry,52.238,-9.857,Q731112,4984,2017_146,Annette and Mike Enright -  Seamus O'Shea, NO
50,22/07/2017,2017,striped dolphin,Stenella coeruleoalba,Inchydoney,Co. Cork,51.6,-8.894,W380389,4985,2017_147,Padraig Whooley -  Donna Spillane, YES
51,22/07/2017,2017,pilot whale,Globicephala melas,Inch Dingle Bay,Co. Kerry,52.113,-9.96,V657975,4987,2017_149,Tim da Toolman, NO
52,21/07/2017,2017,striped dolphin,Stenella coeruleoalba,Inchydoney,Co. Cork,51.59,-8.8,W453375,4981,2017_145,Carol O'Regan, NO
53,17/07/2017,2017,cetacean species,cetacean species,Blasket Islands,Co. Kerry,52.064,-10.527,V267931,4978,2017_143,Nick Massett, NO
54,17/07/2017,2017,pilot whale,Globicephala melas,Ballyconneely,Co. Galway,53.41,-10.04,L643420,4979,2017_144,Diana Conroy -  Anita Pollard, NO
55,15/07/2017,2017,killer whale,Orcinus orca ,Roundstone Bay,Co. Galway,53.385,-10.026,L652391,4976,2017_141,Ronan Davis, NO
56,12/07/2017,2017,harbour porpoise,Phocoena phocoena,Sandymount,Co. Dublin,53.33,-6.21,O192327,4975,2017_140,Yvonne Sheehy -  Shane Mitchell, NO
57,11/07/2017,2017,whale species,whale species,Portstewart,Co. Derry,55.186,-6.721,C814384,4980,N.I.2017_009,Gary Burrows, NO
58,10/07/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Cloghane,Co. Kerry,52.249,-10.161,Q524130,4974,L2017_008,Bernard Mac Bradaigh, YES
59,07/07/2017,2017,common dolphin,Delphinus delphis,Thornhill Strand Westport,Co. Mayo,53.786,-9.673,L897831,4972,2017_139,Eoin Mc Greal, NO
60,05/07/2017,2017,common dolphin,Delphinus delphis,Wexford Harbour,Co. Wexford,52.354,-6.398,T091236,4973,L2017_007,Tony Murray -  Dominic Berridge -  George Lett, YES
61,03/07/2017,2017,Cuvier's beaked whale,Ziphius cavirostris,Gola Island,Co. Donegal,55.084,-8.363,B768263,4977,2017_142,Gareth Doherty, NO
62,02/07/2017,2017,pilot whale,Globicephala melas,Rathlee,Co. Sligo,54.293,-9.038,G324387,4971,2017_138,Maura Doherty, NO
63,21/06/2017,2017,dolphin species,dolphin species,Rossaveal,Co. Galway,53.257,-9.561,L958241,4970,2017_137,Carol Louise Flanagan, NO
64,20/06/2017,2017,minke whale,Balaenoptera acutorostrata,Furbogh Nr. Barna,Co. Galway,53.246,-9.217,M187224,4968,2017_135,Padraic de Bhaldraithe -  Tony O'Callaghan -  Bernadette White -  Linda Nally -  Linda Lee -  Aine Ni Dhomhnaill -  Ciara O'Flynn -  Linda Keohane -  Tara Gan, NO
65,12/06/2017,2017,Cuvier's beaked whale,Ziphius cavirostris,Doonbeg,Co. Clare,52.745,-9.511,Q979670,4967,2017_134,Annette McCarney -  Eoin Daly -  Stephanie Levesque, NO
66,11/06/2017,2017,bottlenose dolphin,Tursiops truncatus,Maharees,Co. Kerry,52.302,-10.04,Q608186,4966,2017_133,Liam O'Connor -  James Quirke -  Benjamin Holthaus, NO
67,08/06/2017,2017,minke whale,Balaenoptera acutorostrata,Dingle Bay,Co. Kerry,52.12,-10.25,V458989,4965,2017_132,Martin Henry -  Nick Massett -  Louise Overy, NO
68,07/06/2017,2017,bottlenose dolphin,Tursiops truncatus,Rinville Point Galway Bay,Co. Galway,53.244,-8.968,M354219,4964,2017_131,Ian O'Connor -  Sheila Reilly -  Alan Donnelly, NO
69,06/06/2017,2017,harbour porpoise,Phocoena phocoena,Quilty,Co. Clare,52.817,-9.456,R018750,4961,2017_128,David Galvin, NO
70,05/06/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Killybegs,Co. Donegal,54.626,-8.439,G716754,4969,2017_136,Paul Hanna, NO
71,04/06/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Cross Beach nr. Carrowniskey,Co. Mayo,53.7,-9.915,L735739,4962,2017_129,Patricia Byrne, NO
72,03/06/2017,2017,harbour porpoise,Phocoena phocoena,Rossbeigh,Co. Kerry,52.056,-9.977,V644911,4960,2017_127,Daniel Aherne -  Maureen Bowman -  Peter Butler -  Colin Brick -  Joy Lyne, NO
73,31/05/2017,2017,common dolphin,Delphinus delphis,Coumeenole Beach Slea Head ,Co. Kerry,52.109,-10.464,V311981,4959,2017_126,Kim Phillips, NO
74,29/05/2017,2017,pilot whale,Globicephala melas,Aran Islands,Co. Galway,53.093,-9.6,L928059,4963,2017_130,Mary Quin, NO
75,23/05/2017,2017,striped dolphin,Stenella coeruleoalba,Youghal Bay,Co. Cork,51.933,-7.861,X095756,4957,2017_124,Adam Mulcahy -  Frances Gallagher, NO
76,23/05/2017,2017,bottlenose dolphin,Tursiops truncatus,Fenit Tralee Bay,Co. Kerry,52.29,-9.88,Q716170,4958,2017_125,Des Sugrue -  Norah Blandin, NO
77,20/05/2017,2017,whale species,whale species,Finnavarra,Co. Clare,53.15,-9.12,M249117,4955,2017_122,Penny Bartlett -  Ken O'Sullivan -  Jacqueline Heeley -  Philippe Faujas -  Marianne Krause -  Sabine Springer -  Batty Kerins, NO
78,19/05/2017,2017,harbour porpoise,Phocoena phocoena,Sandymount,Co. Dublin,53.33,-6.21,O192328,4952,2017_119,Ronan Carvill -  Gillian Ellis -  Colm O'Sandair, NO
79,19/05/2017,2017,common dolphin,Delphinus delphis,Doughmore Doonbeg,Co. Clare,52.765,-9.494,Q991693,4954,2017_121,Simon Berrow -  Lorraine Bull -  Billy O'Brien, NO
80,18/05/2017,2017,harbour porpoise,Phocoena phocoena,Bantry Bay,Co. Cork,51.7299,-9.5247,V946541,4956,2017_123,Stacey Herbert, NO
81,17/05/2017,2017,harbour porpoise,Phocoena phocoena,Portrush,Co. Antrim,55.202,-6.657,C854402,4951,N.I.2017_008,Gary Burrows, NO
82,17/05/2017,2017,minke whale,Balaenoptera acutorostrata,Ballybrannigan Strand,Co. Cork,51.804,-8.133,W908162,4953,2017_120,Frances Gallagher -  Canice Sharkey -  Fiona Buckley -  Karen Meike -  Cian O'Mahony -  Richard Dunne, NO
83,13/05/2017,2017,common dolphin,Delphinus delphis,Tullan Strand Bundoran,Co. Donegal,54.492,-8.267,G826604,4950,2017_118,Aoife Hegarty -  Rosaleen Donagher -  Mary Lavelle, NO
84,10/05/2017,2017,minke whale,Balaenoptera acutorostrata,Bannow,Co. Wexford,52.207,-6.811,S812068,4949,2017_117,Liam Ryan -  Jim Hurley -  Graham Doyle, NO
85,06/05/2017,2017,common dolphin,Delphinus delphis,Brandon Bay,Co. Kerry,52.249,-10.088,Q574128,4946,2017_114,Sean O'Callaghan, NO
86,06/05/2017,2017,harbour porpoise,Phocoena phocoena,Brandon Bay,Co. Kerry,52.248,-10.091,Q571127,4947,2017_115,Sean O'Callaghan, NO
87,06/05/2017,2017,common dolphin,Delphinus delphis,Brandon Bay,Co. Kerry,52.248,-10.091,Q572127,4948,2017_116,Sean O'Callaghan, NO
88,03/05/2017,2017,whale species,whale species,St. Finan's Bay Ballinskelligs,Co. Kerry,51.847,-10.356,V376687,4943,2017_111,Paula Tiller -  Niall Mc Allister, NO
89,03/05/2017,2017,common dolphin,Delphinus delphis,New Quay,Co. Clare,53.158,-9.091,M270125,4944,2017_112,Joanna Mc Inerney -  Brian Ashall -  Kristina Steinmetz, NO
90,02/05/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Silver Strand,Co. Galway,53.257,-9.121,M251235,4941,2017_109,Sara Feeney, NO
91,30/04/2017,2017,harbour porpoise,Phocoena phocoena,White Park Bay,Co. Antrim,55.234,-6.397,D019441,4937,N.I.2017_007,Sean McNally, NO
92,30/04/2017,2017,cetacean species,cetacean species,Inishmor Aran Islands,Co. Galway,53.122,-9.663,L886092,4938,2017_106,Deirdre Slevin, NO
93,30/04/2017,2017,common dolphin,Delphinus delphis,Kilcummin Strand Brandon Bay,Co. Kerry,52.245,-10.105,Q562123,4945,2017_113,Sean O'Callaghan -  Ryan Kearney, NO
94,29/04/2017,2017,common dolphin,Delphinus delphis,Coumeenole Beach Slea Head ,Co. Kerry,52.109,-10.463,V312980,4935,2017_103,Enrico Pirotta -  Brian Mc Sharry, NO
95,27/04/2017,2017,pilot whale,Globicephala melas,Bunatrahir Bay Nr. Ballycastle,Co. Mayo,54.295,-9.38,G101393,4940,2017_108,Helen Cadogan, NO
96,26/04/2017,2017,minke whale,Balaenoptera acutorostrata,Portrush,Co. Antrim,55.196,-6.689,C834395,4933,N.I.2017_006,Gary Burrows/DAERA, NO
97,24/04/2017,2017,Risso's dolphin,Grampus griseus,Dunmoran Strand,Co. Sligo,54.269,-8.75,G511358,4936,2017_105,Sharon Eastwood -  Daniel Frigau, NO
98,21/04/2017,2017,pilot whale,Globicephala melas,Keel Beach Achill Island,Co. Mayo,53.97,-10.078,F636044,4934,2017_104,Rebecca Bateman -  Kieran O'Malley, NO
99,20/04/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Lettermacaward,Co. Donegal,54.851,-8.351,B774003,4939,2017_107,Luca Reggiani, NO
100,17/04/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Malin Head,Co. Donegal,55.372,-7.335,C421585,4928,2017_098,Michael kelly, NO
101,17/04/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Dog's Bay Nr. Roundstone,Co. Galway,53.38,-9.96,L694384,4930,2017_100,Ciara Sheridan, NO
102,17/04/2017,2017,pilot whale,Globicephala melas,Stradbally Strand Brandon Bay,Co. Kerry,52.263,-10.057,Q595143,4931,2017_101,Sean O'Callaghan, NO
103,17/04/2017,2017,dolphin species,dolphin species,Ross Bay Loop Head,Co. Clare,52.59,-9.874,Q730504,4932,2017_102,John Collins -  Richard Collins, NO
104,17/04/2017,2017,harbour porpoise,Phocoena phocoena,Rathlee,Co. Sligo,54.277,-9.054,G313369,4942,2017_110,Peter King, NO
105,16/04/2017,2017,common dolphin,Delphinus delphis,Banna Strand,Co. Kerry,52.345,-9.836,Q748230,4926,2017_096,Vincent Ledwith -  Paul Geraghty -  Jack O'Callaghan -  Xavier Lavigne, NO
106,13/04/2017,2017,beaked whale species,beaked whale species,Allihies Bay Beara Peninsula,Co. Cork,51.633,-10.06,V574442,4925,2017_095,Patrick Lyne, NO
107,12/04/2017,2017,harbour porpoise,Phocoena phocoena,Mullaghmore,Co. Sligo,54.467,-8.447,G710576,4923,2017_093,Rachel Rodgers, NO
108,12/04/2017,2017,whale species,whale species,Gola Island,Co. Donegal,55.089,-8.37,B763269,4927,2017_097,Michael Bell -  Gareth Doherty, NO
109,12/04/2017,2017,harbour porpoise,Phocoena phocoena,Cloghane,Co. Kerry,52.25,-10.161,Q524130,4929,2017_099,Louise Overy, YES
110,10/04/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Malin Beg,Co. Donegal,54.665,-8.776,G499799,4922,2017_092,Tara Diamond, NO
111,10/04/2017,2017,harbour porpoise,Phocoena phocoena,Streedagh Beach,Co. Sligo,54.416,-8.527,G657521,4924,2017_094,Anthony Fagan, NO
112,09/04/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Annalong,Co. Down,54.109,-5.894,J376198,4919,N.I.2017_005,Siobhan Kelly -  Dave Wall -  Gary Burrows, NO
113,09/04/2017,2017,common dolphin,Delphinus delphis,Rosslare,Co. Wexford,52.278,-6.387,T100152,4921,L2017_006,Mac, YES
114,08/04/2017,2017,common dolphin,Delphinus delphis,Kilbrittain,Co. Cork,51.651,-8.675,W532444,4917,2017_090,Paul O'Connor, NO
115,08/04/2017,2017,harbour porpoise,Phocoena phocoena,Clanrye River Newry,Co. Down,54.148,-6.32,J096233,4920,N.I.2017_004,Alan Ward -  Jessica Meehan, NO
116,06/04/2017,2017,harbour porpoise,Phocoena phocoena,Castletownbere,Co. Cork,51.645,-9.911,V677453,4914,2017_087,Patrick Lyne, NO
117,06/04/2017,2017,pilot whale,Globicephala melas,Inishbofin,Co. Galway,53.62,-10.235,L521657,4915,2017_088,Dermot Breen, NO
118,05/04/2017,2017,common dolphin,Delphinus delphis,Cleggan Bay,Co. Galway,53.557,-10.132,L587585,4916,2017_089,Dermot Breen, NO
119,05/04/2017,2017,cetacean species,cetacean species,Lahinch,Co. Clare,52.915,-9.361,R084857,4918,2017_091,Liam Mc Namara -  Adrian Rahill, NO
120,04/04/2017,2017,harbour porpoise,Phocoena phocoena,Brittas Bay,Co. Wicklow,52.884,-6.057,T307832,4913,2017_086,Brian Mernagh -  Jane Cahier -  Sarah Varian, NO
121,03/04/2017,2017,pilot whale,Globicephala melas,Castlemaine Harbour,Co. Kerry,52.158,-9.868,Q721022,4912,2017_085,Paddy Fenton -  Nick Massett -  Mick O'Connell, NO
122,31/03/2017,2017,common dolphin,Delphinus delphis,Caherdaniel Kenmare River,Co. Kerry,51.751,-10.101,V549579,4910,2017_084,Vinny Hyland, NO
123,30/03/2017,2017,common dolphin,Delphinus delphis,Cloghane,Co. Kerry,52.23,-10.18,Q509110,4911,L2017_005,Louise Overy -  Nick Massett, YES
124,26/03/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Arainn Mhor Island,Co. Donegal,54.973,-8.527,B662140,4909,2017_083,Patrick O'Donnell, NO
125,25/03/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Waterville,Co. Kerry,51.827,-10.174,V501661,4908,2017_081,Lucy Hunt -  Assemat Aurelian, NO
126,24/03/2017,2017,common dolphin,Delphinus delphis,Fethard,Co. Wexford,52.205,-6.823,S804065,4907,2017_080,Jim Hurley -  Liam Ryan, NO
127,22/03/2017,2017,Risso's dolphin,Grampus griseus,Cuas Crome Harbour Nr. Valentia Isl.,Co. Kerry,51.965,-10.265,V443815,4905,2017_078,Rosemary Hill -  Petra Welz, NO
128,21/03/2017,2017,common dolphin,Delphinus delphis,Fanore,Co. Clare,53.105,-9.3,M129068,4906,2017_079,Priscilla Lernihan -  Liam Mc Namara, NO
129,20/03/2017,2017,common dolphin,Delphinus delphis,Curracloe,Co. Wexford,52.4,-6.358,T117288,4904,2017_082,Patricia Malone -  David Costelloe, YES
130,15/03/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Cromane,Co. Kerry,52.108,-9.906,V694968,4901,2017_076,Nina Finn-Kelcey, NO
131,15/03/2017,2017,common dolphin,Delphinus delphis,Smerwick Harbour,Co. Kerry,52.18,-10.408,Q353058,4903,L2017_004,Caitriona Nolan, YES
132,14/03/2017,2017,common dolphin,Delphinus delphis,Rossbeigh,Co. Kerry,52.049,-9.994,V631903,4897,2017_073,Mick O'Connell -  Ann O'Connell, NO
133,13/03/2017,2017,harbour porpoise,Phocoena phocoena,Dundrum Bay,Co. Down,54.238,-5.835,J411342,4899,N.I.2017_003,Andrew Gracey, NO
134,11/03/2017,2017,common or striped dolphin,common or Stenella coeruleoalba,Waterville,Co. Kerry,51.789,-10.18,V496618,4900,2017_075,Rosemary Hill, NO
135,09/03/2017,2017,common dolphin,Delphinus delphis,Inishmeane,Co. Donegal,55.102,-8.336,B785283,4902,2017_077,Gareth Doherty, NO
136,08/03/2017,2017,pilot whale,Globicephala melas,Miltown Malbay,Co. Clare,52.859,-9.432,R035796,4894,2017_070,Aoife Ryan -  John Flynn -  Martha Mullarney -  Noel Rynne, NO
137,06/03/2017,2017,Cuvier's beaked whale,Ziphius cavirostris,Mace Head,Co. Galway,53.314,-9.874,L751309,4896,2017_071,Helen Carty, NO
138,05/03/2017,2017,common dolphin,Delphinus delphis,Silver Strand,Co. Galway,53.251,-9.131,M245228,4891,2017_067,Jochen Duerr -  Christopher Hynes -  Rossa Meade -  Lyndsey Hannon -  Dara Stanley, NO
139,05/03/2017,2017,common dolphin,Delphinus delphis,Rossbeigh,Co. Kerry,52.067,-9.977,V644924,4892,2017_069,Sean O'Callaghan -  Brian Sugrue -  Jim O'Leary, NO
140,05/03/2017,2017,common dolphin,Delphinus delphis,Cuas Crome Harbour Nr. Valentia Isl.,Co. Kerry,51.965,-10.265,V443815,4893,2017_068,Sean O'Callaghan -  Gerry Enright -  Lucy Henehan, NO
141,02/03/2017,2017,pilot whale,Globicephala melas,Smerwick Harbour,Co. Kerry,52.179,-10.385,Q368056,4887,2017_063,Kerry Co. Co. -  Nick Massett, NO
142,02/03/2017,2017,common dolphin,Delphinus delphis,Rossnowlagh,Co. Donegal,54.55,-8.211,G863669,4888,2017_064,Padraig Mc Weeney, NO
143,02/03/2017,2017,dolphin species,dolphin species,Inishbofin,Co. Galway,53.628,-10.227,L526664,4890,2017_066,Marie Coyne, NO
144,01/03/2017,2017,pilot whale,Globicephala melas,Smerwick Harbour,Co. Kerry,52.19,-10.376,Q375069,4886,2017_062,Deirdre O'Callaghan -  Nick Massett, NO
145,01/03/2017,2017,common dolphin,Delphinus delphis,Magheroarty,Co. Donegal,55.153,-8.15,B904340,4895,2017_072,Ciaran Coll, NO
146,01/03/2017,2017,common dolphin,Delphinus delphis,Kilkee,Co. Clare,52.677,-9.649,Q884599,4898,2017_074,John Collins -  Dixie Collins -  Martin Tweedy -  Paddy Burke, NO
147,27/02/2017,2017,common dolphin,Delphinus delphis,Gweedore Bay,Co. Donegal,55.092,-8.316,B798271,4882,2017_058,Gareth Doherty, NO
148,27/02/2017,2017,dolphin species,dolphin species,Castlecove Kenmare River,Co. Kerry,51.773,-10.024,V603597,4885,2017_061,Olivia Mazela, NO
149,26/02/2017,2017,common dolphin,Delphinus delphis,Gweedore Bay,Co. Donegal,55.098,-8.314,B799278,4889,2017_065,Colm Gallagher, NO
150,25/02/2017,2017,harbour porpoise,Phocoena phocoena,Ventry,Co. Kerry,52.12,-10.376,V372991,4879,2017_055,Nick Massett -  Philip Moore -  John Noonan, NO
151,25/02/2017,2017,common dolphin,Delphinus delphis,Streedagh Beach,Co. Sligo,54.413,-8.53,G656516,4881,2017_057,Ger Dillon -  Don Cotton, NO
152,24/02/2017,2017,common dolphin,Delphinus delphis,Carrickfinn Strand,Co. Donegal,55.041,-8.347,B777216,4883,2017_059,David Friel, NO
153,24/02/2017,2017,bottlenose dolphin,Tursiops truncatus,Bundoran,Co. Donegal,54.478,-8.283,G816588,4884,2017_060,David Friel, NO
154,23/02/2017,2017,common dolphin,Delphinus delphis,Inch Strand Nr. Power Head,Co. Cork,51.794,-8.18,W875601,4880,2017_056,Adrian Connolly, NO
155,21/02/2017,2017,dolphin species possibly harbour porpoise,dolphin species possibly Phocoena phocoena,Castlegregory,Co. Kerry,52.257,-10.07,Q587136,4878,L2017_003,Nick Massett -  Paddy O'Dwyer -  Chris Larkin, YES
156,16/02/2017,2017,common dolphin,Delphinus delphis,Ventry,Co. Kerry,52.119,-10.376,V373990,4875,2017_052,Nick Massett, YES
157,16/02/2017,2017,harbour porpoise,Phocoena phocoena,Kilrush,Co. Clare,52.61,-9.39,R056518,4876,2017_053,John Collins -  Chris Cooney, NO
158,15/02/2017,2017,common dolphin,Delphinus delphis,Fenit Tralee Bay,Co. Kerry,52.276,-9.866,Q726153,4870,2017_048,Grainne Sheppard -  Mike O'Neill, NO
159,15/02/2017,2017,common dolphin,Delphinus delphis,Ballyconneely,Co. Galway,53.417,-10.079,L617428,4872,2017_050,Helen Carty -  Ger O'Donnell, NO
160,13/02/2017,2017,sperm whale,Physeter macrocephalus ,Nethertown Beach,Co. Wexford,52.183,-6.358,T123046,4871,2017_049,Mac -  Tony Murray -  John Holden, NO
