#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
2976,17/08/1990,1990,Sowerby's beaked whale,Mesoplodon bidens,Templeboy,Co. Sligo,54.2521,-8.8139,,1968,1990_054,Cotton & Bruton INJ 24(4) -  163., NO
2977,15/08/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Coolmaine Bay Courtmacsherry,Co. Cork,51.6561,-8.6799,,1410,1990_053,Berrow INJ 23(8) -  335., NO
2978,01/08/1990,1990,common dolphin,Delphinus delphis,Kinsalebeg,Co. Waterford,51.9725,-7.8407,,1511,1990_052,Smiddy INJ 23(12) -  501-502., NO
2979,24/07/1990,1990,minke whale,Balaenoptera acutorostrata,Rush,Co. Dublin,53.5118,-6.0863,,2106,1990_051,IWDG INJ 24(4) -  166-167., NO
2980,21/07/1990,1990,Risso's dolphin,Grampus griseus,Roaringwater Bay,Co. Cork,51.532,-9.4706,,1764,1990_050,Berrow -  Hillard -  & Hillard INJ 23(8) -  332-333., NO
2981,04/07/1990,1990,pilot whale,Globicephala melas,Cork Harbour,Co. Cork,51.8016,-8.2616,,1854,1990_049,Smiddy INJ 23(12) -  497., NO
2982,03/06/1990,1990,minke whale,Balaenoptera acutorostrata,Whiting Bay Ardmore,Co. Waterford,51.9454,-7.7826,,2105,1990_048,Smiddy INJ 23(8) -  328., NO
2983,26/05/1990,1990,minke whale,Balaenoptera acutorostrata,Caliso Bay Youghal Bay,Co. Waterford,51.9365,-7.8117,,2104,1990_047,Smiddy INJ 23(8) -  328., NO
2984,19/05/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Sligo Bay,Co. Sligo,54.2984,-8.5844,,1409,1990_046,Cotton INJ 23(8) -  334-335., NO
2985,01/05/1990,1990,minke whale,Balaenoptera acutorostrata,Gweedore Bay,Co. Donegal,55.0899,-8.3296,,2107,1990_045,Fairley INJ 24(12) -  508., NO
2986,25/04/1990,1990,pilot whale,Globicephala melas,Fanore,Co. Clare,53.1068,-9.2998,,1853,1990_044,Fairley & MacLoughlin INJ 23(8) -  332., NO
2987,21/04/1990,1990,pilot whale,Globicephala melas,Castlerock,Co. Derry,55.1653,-6.8083,,1852,1990_043,IWDG INJ 23(4) -  166-167., NO
2988,03/04/1990,1990,pilot whale,Globicephala melas,Allihies Bay Beara Peninsula,Co. Cork,51.6309,-10.066,,1851,1990_042,Berrow & Barnett INJ 23(8) -  330-331., NO
2989,30/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Keel Beach Achill Island,Co. Mayo,53.9675,-10.0731,,1404,1990_040,OÕShea -  Kingston & Fairley INJ 23(8) -  334., NO
2990,30/03/1990,1990,sperm whale,Physeter macrocephalus ,Malin Head,Co. Donegal,55.3491,-7.3545,,2012,1990_041,Fairley INJ 23(8) -  328-329., NO
2991,24/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Achill Island,Co. Mayo,53.9664,-10.134,,1402,1990_035,OÕShea -  Kingston & Fairley INJ 23(8) -  334., NO
2992,24/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Keel Beach Achill Island,Co. Mayo,53.9664,-10.134,,1403,1990_036,OÕShea -  Kingston & Fairley INJ 23(8) -  334., NO
2993,24/03/1990,1990,striped dolphin,Stenella coeruleoalba,Achill Island,Co. Mayo,53.9855,-10.074,,1680,1990_039,OÕShea -  Kingston & Fairley INJ 23(8) -  337., NO
2994,24/03/1990,1990,common dolphin,Delphinus delphis,Achill Island,Co. Mayo,53.9653,-10.195,,1509,1990_037,OÕShea -  Kingston & Fairley INJ 23(8) -  336., NO
2995,24/03/1990,1990,common dolphin,Delphinus delphis,Doonikella,Co. Mayo,53.9588,-10.0575,,1510,1990_038,OÕShea -  Kingston & Fairley INJ 23(8) -  336., NO
2996,23/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Ballyconneely,Co. Galway,53.4092,-10.1361,,1405,1990_031,Berrow & Stark INJ 23(8) -  334., NO
2997,23/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Ballyconneely,Co. Galway,53.4092,-10.1361,,1406,1990_032,Berrow & Stark INJ 23(8) -  334., NO
