,S.W.No.,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
1626,1941/003,Unknown mysticete,Unknown mysticete,NA,NA,Co. Wexford,1941,01/12/1941
1627,1941/004,Unknown mysticete,Unknown mysticete,NA,NA,Co. Wexford,1941,01/12/1941
1628,1941/28,Orcinus orca,Killer whale,53.14618352,0.37888514,Lincolnshire,1941,23/12/1941
1629,1942/1A,Unknown mysticete,Unknown balaenopterid,52.1734,-6.5765,Co. Wexford,1942,06/01/1942
1630,1942/1,Unknown,Unknown,53.4068,-4.5653,"Anglesey, Gwynedd, Wales",1942,19/03/1942
1631,1942/2,Globicephala melas,Long-finned pilot whale,53.2495,-4.0538,"Caernarvonshire, Wales",1942,11/04/1942
1632,1942/3,Tursiops truncatus,Bottlenose dolphin,52.97796617,0.559288402,Norfolk,1942,15/05/1942
1633,1942/4,Tursiops truncatus,Bottlenose dolphin,52.65418959,1.734647394,Norfolk,1942,19/05/1942
1634,1942/5,Unknown odontocete,Unknown odontocete,55.7675,-6.3579,"Argyllshire, Scotland",1942,31/05/1942
1635,1942/5A,Unknown,Unknown,52.9454,1.2483,Norfolk,1942,16/06/1942
1636,1942/6,Hyperoodon ampullatus,Bottlenose whale,52.8771,0.4332,Norfolk,1942,28/06/1942
1637,1942/8,Globicephala melas,Long-finned pilot whale,51.0681,-4.2226,Devon,1942,20/07/1942
1638,1942/7,Tursiops truncatus,Bottlenose dolphin,50.60831932,-1.951944784,Dorset,1942,22/07/1942
1639,1942/9,Phocoena phocoena,Harbour porpoise,51.38063136,1.211304044,Kent,1942,04/08/1942
1640,1942/10,Delphinus delphis,Common dolphin,50.6178,-1.3749,Isle of Wight,1942,06/09/1942
1641,1942/11,Orcinus orca,Killer whale,54.07393932,-0.189033494,Yorkshire,1942,07/09/1942
1642,1942/12,Balaenoptera acutorostrata,Minke whale,52.9611,0.8517,Norfolk,1942,25/11/1942
1643,1942/13,Balaenoptera physalus,Fin whale,NA,NA,"Inverness-shire, Scotland",1942,25/11/1942
1644,1942/14,Hyperoodon ampullatus,Bottlenose whale,54.9872,-5.9684,Co. Antrim,1942,27/11/1942
1645,1942/15,Unknown,Unknown,54.2253,-4.6891,Isle of Man,1942,07/12/1942
1646,1942/16,Unknown,Unknown,54.7676,-3.4438,Cumberland,1942,12/12/1942
1647,1942/17,Hyperoodon ampullatus,Bottlenose whale,54.427,-0.5293,North Yorkshire,1942,12/12/1942
1648,1943/001,Physeter macrocephalus,sperm whale,53.7276,-9.9098,Co. Mayo,1943,01/01/1943
1649,1943/2,Balaenoptera physalus,Fin whale,56.7872,-2.3561,"Kincardine, Scotland",1943,12/01/1943
1650,1943/1,Unknown,Unknown,55.0826,-1.4674,Northumberland,1943,13/01/1943
1651,1943/5,Lagenorhynchus albirostris,White-beaked dolphin,56.0508,-3.2942,"Fifeshire, Scotland",1943,02/02/1943
1652,1943/4,Delphinus delphis,Common dolphin,59.1396,-3.3033,"Orkney Islands, Scotland",1943,15/02/1943
1653,1943/6,Balaenoptera acutorostrata,Minke whale,51.9031,-5.305,"Pembrokeshire, Wales",1943,24/05/1943
1654,1943/7,Unknown,Unknown,53.6194,0.1443,Yorkshire,1943,04/06/1943
1655,1943/8,Phocoena phocoena,Harbour porpoise,54.2155,-0.2803,Yorkshire,1943,30/06/1943
1656,1943/9,Orcinus orca,Killer whale,56.80391315,-2.344573779,"Kincardineshire, Scotland",1943,03/07/1943
1657,1943/10,Orcinus orca,Killer whale,57.17847032,-2.079403281,"Aberdeenshire, Scotland",1943,04/07/1943
1658,1943/10,Orcinus orca,Killer whale,57.17856016,-2.079403473,"Aberdeenshire, Scotland",1943,04/07/1943
1659,1943/11,Orcinus orca,Killer whale,55.1316378,-1.498058773,Northumberland,1943,10/07/1943
1660,1943/12,Hyperoodon ampullatus,Bottlenose whale,54.3965,-1.8285,Yorkshire,1943,13/07/1943
1661,1943/15,Balaenoptera acutorostrata,Minke whale,51.7655,-2.4204,Gloucestershire,1943,13/07/1943
1662,1943/13,Phocoena phocoena,Harbour porpoise,56.3355,-2.7774,"Fifeshire, Scotland",1943,23/07/1943
1663,1943/14,Unknown,Unknown,56.0012,-2.5058,"E.Lothian, Scotland",1943,06/08/1943
1664,1943/16,Unknown,Unknown,56.0189,-2.894,"E.Lothian, Scotland",1943,01/09/1943
1665,1943/17,Mesoplodon bidens,Sowerby's Beaked whale,58.1142,-3.6527,"Sutherland, Scotland",1943,02/09/1943
1666,1943/18,Balaenoptera acutorostrata,Minke whale,52.5925,1.7387,Norfolk,1943,13/10/1943
1667,1943/19,Balaenoptera acutorostrata,Minke whale,54.1518,-4.474,Isle of Man,1943,13/10/1943
1668,1943/20,Delphinus delphis,Common dolphin,52.7183,1.7006,Norfolk,1943,25/10/1943
1669,1943/21,Phocoena phocoena,Harbour porpoise,57.2453,-2.0407,"Aberdeenshire, Scotland",1943,30/10/1943
1670,1943/002,Ziphius cavirostris,Cuvier's beaked whale,53.4159,-10.15,Co. Galway,1943,30/11/1943
1671,1943/22,Phocoena phocoena,Harbour porpoise,57.2484,-2.037,"Aberdeenshire, Scotland",1943,03/12/1943
1672,1943/23,Grampus griseus,Risso's dolphin,50.8302,-0.9076,Hampshire,1943,22/12/1943
1673,1943/24,Orcinus orca,Killer whale,52.6823609,-9.654840122,Co. Clare,1943,30/12/1943
1675,1944/1,Balaenoptera acutorostrata,Minke whale,54.909,-1.3541,Northumberland,1944,05/02/1944
1676,1944/2,Orcinus orca,Killer whale,60.68003881,-0.901539916,"Shetland Islands, Scotland",1944,15/02/1944
1677,1944/3,Balaenoptera physalus,Fin whale,50.3336,-5.1862,Cornwall,1944,17/02/1944
1678,1944/5,Unknown,Unknown,56.9988,-7.3983,"Western Isles, Scotland",1944,30/03/1944
1679,1944/001,Ziphius cavirostris,Cuvier's beaked whale,53.4159,-10.15,Co. Galway,1944,04/04/1944
1680,1944/6,Phocoena phocoena,Harbour porpoise,57.2727,-2.0188,"Aberdeenshire, Scotland",1944,18/04/1944
1681,1944/7,Unknown,Unknown,53.2076,-4.4974,"Anglesey, Gwynedd, Wales",1944,24/04/1944
1682,1944/9,Delphinus delphis,Common dolphin,52.6983,1.7088,Norfolk,1944,19/05/1944
