"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"4132","SW2011/419","Physeter macrocephalus","Sperm whale",56.46916667,-6.9713889,"Argyll and Bute",2011,"07/09/2011"
"4133","SW2011/408","Tursiops truncatus","Bottlenose dolphin",56.54555556,-2.6166667,"Angus",2011,"09/09/2011"
"4134","SW2011/411","Delphinus delphis","Short-beaked common dolphin",56.31,-5.5877778,"Argyll and Bute",2011,"11/09/2011"
"4135","SW2011/412","Phocoena phocoena","Harbour porpoise",55.50166667,-5.3352778,"Strathclyde",2011,"12/09/2011"
"4136","SW2011/415","Stenella coeruleoalba","Striped dolphin",56.5275,-6.9252778,"Argyll and Bute",2011,"12/09/2011"
"4137","SW2011/477","Hyperoodon ampullatus","Northern bottlenose whale",56.07055556,-6.2475,"Argyll and Bute",2011,"17/09/2011"
"4138","SW2011/425","Lagenorhynchus acutus","Atlantic white-sided dolphin",58.20388889,-6.3752778,"Western Isles",2011,"21/09/2011"
"4139","SW2011/437","Tursiops truncatus","Bottlenose dolphin",56.2613,-2.61175,"Fife",2011,"24/09/2011"
"4140","SW2011/445","Stenella coeruleoalba","Striped dolphin",56.48805556,-6.8780556,"Argyll and Bute",2011,"29/09/2011"
"4141","SW2011/386","Lagenorhynchus albirostris","White-beaked dolphin",59.0525,-3.3361111,"Orkney",2011,"30/09/2011"
"4142","SW2011/448","Balaenoptera physalus","Fin whale",57.35144167,-7.4010028,"Western Isles",2011,"04/10/2011"
"4143","SW2011/459","Kogia breviceps","Pygmy sperm whale",56.29166667,-5.6333333,"Argyll and Bute",2011,"06/10/2011"
"4144","SW2011/453","Phocoena phocoena","Harbour porpoise",55.674738,-5.66714,"Argyll and Bute",2011,"11/10/2011"
"4145","SW2011/460","Phocoena phocoena","Harbour porpoise",56.755452,-2.4253178,"Grampian",2011,"12/10/2011"
"4146","SW2011/465","Phocoena phocoena","Harbour porpoise",55.70333333,-1.9052778,"Northumberland",2011,"12/10/2011"
"4147","SW2011/463","Phocoena phocoena","Harbour porpoise",56.025472,-5.30209,"Argyll and Bute",2011,"16/10/2011"
"4148","SW2011/464","Ziphius cavirostris","Cuvier's beaked whale",56.01965,-6.26996,"Argyll and Bute",2011,"16/10/2011"
"4149","SW2011/472","Stenella coeruleoalba","Striped dolphin",56.84033,-5.11519,"Highland",2011,"17/10/2011"
"4150","SW2011/466","Balaenoptera acutorostrata","Minke whale",55.8358,-5.22507,"Argyll and Bute",2011,"17/10/2011"
"4151","SW2011/478","Phocoena phocoena","Harbour porpoise",56.19429,-2.8693,"Fife",2011,"18/10/2011"
"4152","SW2011/474","Lagenorhynchus acutus","Atlantic white-sided dolphin",58.52944444,-4.2558333,"Highland",2011,"20/10/2011"
"4153","SW2011/491","Delphinus delphis","Short-beaked common dolphin",58.53333333,-4.2094444,"Highland",2011,"20/10/2011"
"4154","SW2011/603","Grampus griseus","Risso's dolphin",59.25138889,-2.8563889,"Orkney",2011,"23/10/2011"
"4155","SW2011/489","Mesoplodon bidens","Sowerby's beaked whale",57.5675,-5.6877778,"Highland",2011,"24/10/2011"
"4156","SW2011/507","Balaenoptera acutorostrata","Minke whale",58.4309,-3.0551,"At sea",2011,"06/11/2011"
"4157","SW2011/523","Phocoena phocoena","Harbour porpoise",57.24055556,-2.0422222,"Aberdeenshire",2011,"12/11/2011"
"4158","SW2011/518","Phocoena phocoena","Harbour porpoise",56.35305556,-2.8066667,"Tayside",2011,"14/11/2011"
"4159","SW2011/524","Phocoena phocoena","Harbour porpoise",57.32416667,-1.9708333,"Aberdeenshire",2011,"15/11/2011"
"4160","SW2011/538","Phocoena phocoena","Harbour porpoise",55.75583333,-5.0286111,"Argyll and Bute",2011,"16/11/2011"
"4161","SW2011/535","Phocoena phocoena","Harbour porpoise",56.21166667,-2.7311111,"Fife",2011,"18/11/2011"
"4162","SW2011/537","Lagenorhynchus albirostris","White-beaked dolphin",56.58805556,-2.5186111,"Angus",2011,"19/11/2011"
"4163","SW2011/539","Lagenorhynchus acutus","Atlantic white-sided dolphin",58.92611111,-3.1280556,"Orkney",2011,"20/11/2011"
"4164","SW2011/536","Phocoena phocoena","Harbour porpoise",55.54833333,-5.0936111,"Argyll and Bute",2011,"20/11/2011"
"4165","SW2011/549","Lagenorhynchus acutus","Atlantic white-sided dolphin",56.55194444,-2.6011111,"Angus",2011,"29/11/2011"
"4166","SW2011/558","Balaenoptera acutorostrata","Minke whale",57.21305556,-7.4244444,"Western Isles",2011,"02/12/2011"
"4167","SW2011/600","Phocoena phocoena","Harbour porpoise",57.61472222,-3.8036111,"Highland",2011,"03/12/2011"
"4168","SW2011/555","Delphinus delphis","Short-beaked common dolphin",57.58222222,-4.0613889,"Highland",2011,"04/12/2011"
