"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"8950","SW2012/357","Balaenoptera physalus","Fin whale",50.35,-4.2636111,"Cornwall",2012,"24/08/2012"
"8951","SW2012/347","Phocoena phocoena","Harbour porpoise",55.10666667,-1.4961111,"Northumberland",2012,"26/08/2012"
"8952","SW2012/498","Phocoena phocoena","Harbour porpoise",50.79916667,-0.5475,"West Sussex",2012,"28/08/2012"
"8953","SW2012/362","Phocoena phocoena","Harbour porpoise",54.62166667,-1.0838889,"Redcar and Cleveland",2012,"29/08/2012"
"8954","SW2012/366","Phocoena phocoena","Harbour porpoise",50.33944444,-4.2405556,"Cornwall",2012,"30/08/2012"
"8955","SW2012/489","Phocoena phocoena","Harbour porpoise",51.77222222,0.9386111,"Essex",2012,"30/08/2012"
"8956","SW2012/365","Tursiops truncatus","Bottlenose dolphin",52.295,-4.1694444,"Ceredigion",2012,"31/08/2012"
"8957","SW2012/373","Phocoena phocoena","Harbour porpoise",52.02,-4.8775,"Pembrokeshire",2012,"01/09/2012"
"8958","SW2012/367","Phocoena phocoena","Harbour porpoise",50.05833333,-5.2811111,"Cornwall",2012,"02/09/2012"
"8959","SW2012/368","Delphinus delphis","Short-beaked common dolphin",50.18111111,-4.9727778,"Cornwall",2012,"04/09/2012"
"8960","SW2012/369","Phocoena phocoena","Harbour porpoise",50.43888889,-3.5566667,"Devon",2012,"05/09/2012"
"8961","SW2012/374","Phocoena phocoena","Harbour porpoise",52.1475,-4.4925,"Ceredigion",2012,"05/09/2012"
"8962","SW2012/499","Phocoena phocoena","Harbour porpoise",51.35166667,0.9908333,"Kent",2012,"05/09/2012"
"8963","SW2012/503","Phocoena phocoena","Harbour porpoise",54.06972222,-3.2308333,"Cumbria",2012,"05/09/2012"
"8964","SW2012/505","Mesoplodon bidens","Sowerby's beaked whale",53.04638889,0.2472222,"Lincolnshire",2012,"05/09/2012"
"8965","SW2012/375","Phocoena phocoena","Harbour porpoise",51.60027778,-4.3036111,"Swansea",2012,"09/09/2012"
"8966","SW2012/376","Phocoena phocoena","Harbour porpoise",51.58611111,-3.9983333,"Swansea",2012,"09/09/2012"
"8967","SW2012/377","Phocoena phocoena","Harbour porpoise",51.59416667,-3.8225,"Neath Port Talbot",2012,"09/09/2012"
"8968","SW2012/372","Phocoena phocoena","Harbour porpoise",52.41694444,1.7316667,"Suffolk",2012,"10/09/2012"
"8969","SW2012/378","Phocoena phocoena","Harbour porpoise",51.61333333,-3.8711111,"Swansea",2012,"11/09/2012"
"8970","SW2012/398","Phocoena phocoena","Harbour porpoise",52.21861111,-4.3619444,"Ceredigion",2012,"12/09/2012"
"8971","SW2012/399","Phocoena phocoena","Harbour porpoise",51.77666667,-5.1072222,"Pembrokeshire",2012,"12/09/2012"
"8972","SW2012/402","Phocoena phocoena","Harbour porpoise",52.54416667,-4.0652778,"Gwynedd",2012,"13/09/2012"
"8973","SW2012/389","Phocoena phocoena","Harbour porpoise",50.12722222,-5.5166667,"Cornwall",2012,"13/09/2012"
"8974","SW2012/390","Delphinus delphis","Short-beaked common dolphin",50.80444444,-0.4169444,"West Sussex",2012,"14/09/2012"
"8975","SW2012/396","Phocoena phocoena","Harbour porpoise",51.05305556,-4.1822222,"Devon",2012,"15/09/2012"
"8976","SW2012/406","Delphinus delphis","Short-beaked common dolphin",51.13027778,-3.0011111,"Somerset",2012,"17/09/2012"
"8977","SW2012/400","Delphinus delphis","Short-beaked common dolphin",51.66361111,-5.0661111,"Pembrokeshire",2012,"19/09/2012"
"8978","SW2012/401","Phocoena phocoena","Harbour porpoise",52.08416667,-4.6802778,"Pembrokeshire",2012,"19/09/2012"
"8979","SW2012/475","Phocoena phocoena","Harbour porpoise",50.28805556,-5.2422222,"Cornwall",2012,"19/09/2012"
"8980","SW2012/403","Delphinus delphis","Short-beaked common dolphin",50.36694444,-5.1491667,"Cornwall",2012,"20/09/2012"
"8981","SW2012/404","Phocoena phocoena","Harbour porpoise",53.39888889,-3.1783333,"Wirral",2012,"20/09/2012"
"8982","SW2012/414","Delphinus delphis","Short-beaked common dolphin",50.09111111,-5.6902778,"Cornwall",2012,"21/09/2012"
"8983","SW2012/405","Phocoena phocoena","Harbour porpoise",50.99944444,-4.3977778,"Devon",2012,"21/09/2012"
"8984","SW2012/407","Phocoena phocoena","Harbour porpoise",52.87555556,-4.1402778,"Gwynedd",2012,"21/09/2012"
"8985","SW2012/415","Phocoena phocoena","Harbour porpoise",50.11666667,-5.0905556,"Cornwall",2012,"22/09/2012"
"8986","SW2012/409","Delphinus delphis","Short-beaked common dolphin",51.18916667,-3.0494444,"Somerset",2012,"24/09/2012"
"8987","SW2012/412","Phocoena phocoena","Harbour porpoise",54.22583333,-4.6975,"Isle of Man",2012,"25/09/2012"
"8988","SW2012/413","Balaenoptera borealis","Sei whale",55.28944444,-1.5708333,"Northumberland",2012,"26/09/2012"
"8989","SW2012/416","Phocoena phocoena","Harbour porpoise",51.3,-3.0277778,"Somerset",2012,"28/09/2012"
"8990","SW2012/418","Delphinus delphis","Short-beaked common dolphin",50.08666667,-5.6913889,"Cornwall",2012,"29/09/2012"
"8991","SW2012/419","Mesoplodon bidens","Sowerby's beaked whale",54.09361111,-0.1766667,"East Riding of Yorkshire",2012,"30/09/2012"
"8992","SW2012/420","Balaenoptera physalus","Fin whale",52.03333333,1.4544444,"Suffolk",2012,"30/09/2012"
"8993","SW2012/421","Phocoena phocoena","Harbour porpoise",50.02416667,-5.2563889,"Cornwall",2012,"01/10/2012"
"8994","SW2012/422","Delphinus delphis","Short-beaked common dolphin",50.14333333,-5.0686111,"Cornwall",2012,"03/10/2012"
"8995","SW2012/425","Phocoena phocoena","Harbour porpoise",51.48333333,0.6391667,"Kent",2012,"07/10/2012"
"8996","SW2012/423","Phocoena phocoena","Harbour porpoise",51.74833333,0.9155556,"Essex",2012,"07/10/2012"
"8997","SW2012/424","Phocoena phocoena","Harbour porpoise",52.351876,1.6828265,"Suffolk",2012,"08/10/2012"
"8998","SW2012/448","Phocoena phocoena","Harbour porpoise",53.30611111,-4.1919444,"Anglesey",2012,"10/10/2012"
"8999","SW2012/449","Phocoena phocoena","Harbour porpoise",51.39027778,-3.2725,"Vale of Glamorgan",2012,"10/10/2012"
"9000","SW2012/437","Phocoena phocoena","Harbour porpoise",50.08416667,-5.5358333,"Cornwall",2012,"11/10/2012"
"9001","SW2012/436","Phocoena phocoena","Harbour porpoise",51.01722222,0.9952778,"Kent",2012,"11/10/2012"
"9002","SW2012/438","Delphinus delphis","Short-beaked common dolphin",50.40833333,-5.1166667,"Cornwall",2012,"13/10/2012"
"9003","SW2012/511","Phocoena phocoena","Harbour porpoise",50.78027778,0.0519444,"East Sussex",2012,"16/10/2012"
"9004","SW2012/442","Phocoena phocoena","Harbour porpoise",50.77888889,0.1169444,"East Sussex",2012,"17/10/2012"
