,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
59,Lagenorhynchus albirostris,White-beaked dolphin,55.86063208,-6.32357187,"Argyll, Scotland",1913,15/10/1913
60,Unknown odontocete,Unknown odontocete,53.34364192,0.268462387,Lincolnshire,1913,17/10/1913
61,NA,NA,50.62832819,-1.39198275,Isle of Wight,1913,25/10/1913
62,Unknown odontocete,Unknown odontocete,51.3060052,1.379176385,Kent,1913,29/10/1913
63,Balaenoptera acutorostrata,Minke whale,56.26033202,-2.61832577,"Fife, Scotland",1913,31/10/1913
64,Unknown odontocete,Unknown odontocete,50.71617714,-1.865420128,Hampshire,1913,01/11/1913
65,Grampus griseus,Risso's dolphin,50.26562943,-3.650229459,Devon,1913,04/11/1913
66,Grampus griseus,Risso's dolphin,50.26562943,-3.650229459,Devon,1913,04/11/1913
67,Delphinus delphis,Common dolphin,55.1961,-7.8914,"Donegal, EIRE",1913,21/11/1913
68,Unknown odontocete,Unknown odontocete,50.942391,0.918420142,Kent,1913,24/11/1913
69,Delphinus delphis,Common dolphin,53.9636,-10.0586,"Mayo, EIRE",1913,01/12/1913
70,Unknown odontocete,Unknown odontocete,50.26927153,-4.780191696,Cornwall,1913,17/12/1913
71,Unknown odontocete,Unknown odontocete,50.91203364,0.98055249,Kent,1913,19/12/1913
72,NA,NA,53.52048881,-3.063460343,Lancashire,1913,22/12/1913
73,Physeter macrocephalus,Sperm whale,57.58633013,-4.067650645,"Inverness, Scotland",1913,18/12/1913
74,Phocoena phocoena,Harbour porpoise,51.18548864,1.408996762,Kent,1914,13/01/1914
75,Unknown odontocete,Unknown odontocete,50.81116909,0.356505279,Sussex,1914,19/01/1914
76,Unknown odontocete,Unknown odontocete,50.33510109,-4.49589857,Cornwall,1914,04/02/1914
77,Delphinus delphis,Common dolphin,52.2082,-6.7522,"Wexford, EIRE",1914,09/02/1914
78,Phocoena phocoena,Harbour porpoise,50.7794077,0.037108252,Sussex,1914,12/02/1914
79,Unknown odontocete,Unknown odontocete,54.11354149,-3.274420365,Lancashire,1914,13/02/1914
