,Year,Species,Total_events
776,1990,Mesoplodon bidens,1
777,1990,Phocoena phocoena,74
778,1990,Physeter macrocephalus,13
779,1990,Stenella coeruleoalba,11
780,1991,Balaenoptera acutorostrata,6
781,1991,Balaenoptera physalus,1
782,1991,Delphinus delphis,33
783,1991,Globicephala melas,21
784,1991,Grampus griseus,3
785,1991,Hyperoodon ampullatus,1
786,1991,Lagenorhynchus acutus,4
787,1991,Lagenorhynchus albirostris,6
788,1991,Mesoplodon bidens,1
789,1991,Phocoena phocoena,105
790,1991,Physeter macrocephalus,1
791,1991,Stenella coeruleoalba,15
792,1991,Tursiops truncatus,8
793,1992,Balaenoptera acutorostrata,8
794,1992,Balaenoptera physalus,1
795,1992,Delphinus delphis,79
796,1992,Globicephala melas,37
797,1992,Grampus griseus,10
798,1992,Lagenorhynchus acutus,4
799,1992,Lagenorhynchus albirostris,26
800,1992,Megaptera novaeangliae,1
801,1992,Mesoplodon bidens,4
802,1992,Phocoena phocoena,119
803,1992,Physeter macrocephalus,5
804,1992,Stenella coeruleoalba,13
805,1992,Tursiops truncatus,13
806,1993,Balaenoptera acutorostrata,18
807,1993,Delphinus delphis,53
808,1993,Globicephala melas,12
809,1993,Grampus griseus,10
810,1993,Hyperoodon ampullatus,2
811,1993,Kogia breviceps,1
812,1993,Lagenorhynchus acutus,8
813,1993,Lagenorhynchus albirostris,18
814,1993,Phocoena phocoena,163
815,1993,Physeter macrocephalus,5
816,1993,Stenella coeruleoalba,7
817,1993,Tursiops truncatus,11
818,1993,Ziphius cavirostris,3
819,1994,Balaenoptera acutorostrata,6
820,1994,Balaenoptera physalus,2
821,1994,Delphinus delphis,52
822,1994,Globicephala melas,13
823,1994,Grampus griseus,9
824,1994,Hyperoodon ampullatus,1
825,1994,Lagenorhynchus acutus,18
826,1994,Lagenorhynchus albirostris,16
827,1994,Mesoplodon bidens,4
828,1994,Orcinus orca,3
829,1994,Phocoena phocoena,180
830,1994,Physeter macrocephalus,10
831,1994,Stenella coeruleoalba,12
832,1994,Tursiops truncatus,6
833,1994,Ziphius cavirostris,1
834,1995,Balaenoptera acutorostrata,14
835,1995,Balaenoptera physalus,2
836,1995,Delphinus delphis,28
837,1995,Globicephala melas,18
838,1995,Grampus griseus,9
839,1995,Hyperoodon ampullatus,2
840,1995,Lagenorhynchus acutus,11
841,1995,Lagenorhynchus albirostris,20
842,1995,Orcinus orca,4
843,1995,Phocoena phocoena,127
844,1995,Physeter macrocephalus,5
845,1995,Stenella coeruleoalba,13
846,1995,Tursiops truncatus,5
847,1996,Balaenoptera acutorostrata,12
848,1996,Delphinus delphis,43
849,1996,Globicephala melas,15
850,1996,Grampus griseus,11
851,1996,Hyperoodon ampullatus,1
852,1996,Lagenorhynchus acutus,12
853,1996,Lagenorhynchus albirostris,14
854,1996,Megaptera novaeangliae,1
855,1996,Mesoplodon bidens,3
856,1996,Phocoena phocoena,201
857,1996,Physeter macrocephalus,4
858,1996,Stenella coeruleoalba,10
859,1996,Tursiops truncatus,2
860,1997,Balaenoptera acutorostrata,17
861,1997,Balaenoptera physalus,1
862,1997,Delphinus delphis,53
863,1997,Globicephala melas,21
864,1997,Grampus griseus,6
865,1997,Kogia breviceps,2
866,1997,Lagenorhynchus acutus,20
867,1997,Lagenorhynchus albirostris,9
868,1997,Mesoplodon mirus,1
869,1997,Orcinus orca,1
870,1997,Phocoena phocoena,204
871,1997,Physeter macrocephalus,9
872,1997,Stenella coeruleoalba,5
873,1997,Tursiops truncatus,3
874,1997,Ziphius cavirostris,2
875,1998,Balaenoptera acutorostrata,16
876,1998,Delphinus delphis,62
877,1998,Globicephala melas,17
878,1998,Grampus griseus,17
879,1998,Hyperoodon ampullatus,3
880,1998,Kogia breviceps,1
881,1998,Lagenorhynchus acutus,23
882,1998,Lagenorhynchus albirostris,8
883,1998,Mesoplodon bidens,1
884,1998,Phocoena phocoena,196
885,1998,Physeter macrocephalus,12
886,1998,Stenella coeruleoalba,21
887,1998,Tursiops truncatus,8
888,1999,Balaenoptera acutorostrata,19
889,1999,Balaenoptera physalus,1
890,1999,Delphinus delphis,59
891,1999,Globicephala melas,18
892,1999,Grampus griseus,13
893,1999,Hyperoodon ampullatus,3
894,1999,Kogia breviceps,2
895,1999,Lagenorhynchus acutus,6
896,1999,Lagenorhynchus albirostris,11
897,1999,Mesoplodon bidens,1
898,1999,Phocoena phocoena,198
899,1999,Physeter macrocephalus,6
900,1999,Stenella coeruleoalba,20
901,1999,Tursiops truncatus,17
902,1999,Ziphius cavirostris,2
903,2000,Balaenoptera acutorostrata,21
904,2000,Balaenoptera physalus,5
905,2000,Delphinus delphis,77
906,2000,Globicephala melas,21
907,2000,Grampus griseus,14
908,2000,Hyperoodon ampullatus,1
909,2000,Kogia breviceps,1
910,2000,Lagenorhynchus acutus,15
911,2000,Lagenorhynchus albirostris,8
912,2000,Mesoplodon bidens,3
913,2000,Phocoena phocoena,196
914,2000,Physeter macrocephalus,7
915,2000,Stenella coeruleoalba,18
916,2000,Tursiops truncatus,9
917,2000,Ziphius cavirostris,4
918,2001,Balaenoptera acutorostrata,20
919,2001,Balaenoptera borealis,1
920,2001,Balaenoptera physalus,4
921,2001,Delphinus delphis,121
922,2001,Globicephala melas,32
923,2001,Grampus griseus,10
924,2001,Hyperoodon ampullatus,3
925,2001,Lagenorhynchus acutus,3
926,2001,Lagenorhynchus albirostris,6
927,2001,Megaptera novaeangliae,2
928,2001,Mesoplodon bidens,3
929,2001,Orcinus orca,2
930,2001,Phocoena phocoena,284
931,2001,Physeter macrocephalus,8
932,2001,Stenella coeruleoalba,16
933,2001,Tursiops truncatus,17
934,2001,Ziphius cavirostris,1
935,2002,Balaenoptera acutorostrata,21
936,2002,Balaenoptera physalus,1
937,2002,Delphinus delphis,133
938,2002,Globicephala melas,28
939,2002,Grampus griseus,13
940,2002,Hyperoodon ampullatus,1
941,2002,Kogia breviceps,2
942,2002,Lagenorhynchus acutus,9
943,2002,Lagenorhynchus albirostris,7
944,2002,Mesoplodon bidens,1
945,2002,Orcinus orca,1
946,2002,Phocoena phocoena,365
947,2002,Physeter macrocephalus,6
948,2002,Stenella coeruleoalba,13
949,2002,Tursiops truncatus,8
950,2002,Ziphius cavirostris,4
951,2003,Balaenoptera acutorostrata,20
952,2003,Balaenoptera physalus,1
953,2003,Delphinus delphis,223
954,2003,Globicephala melas,9
955,2003,Grampus griseus,14
956,2003,Hyperoodon ampullatus,1
957,2003,Lagenorhynchus acutus,11
958,2003,Lagenorhynchus albirostris,6
959,2003,Mesoplodon bidens,1
960,2003,Orcinus orca,2
961,2003,Phocoena phocoena,339
962,2003,Physeter macrocephalus,11
963,2003,Stenella coeruleoalba,16
964,2003,Tursiops truncatus,9
965,2003,Ziphius cavirostris,1
966,2004,Balaenoptera acutorostrata,15
967,2004,Balaenoptera physalus,7
968,2004,Delphinus delphis,180
969,2004,Globicephala melas,20
970,2004,Grampus griseus,14
971,2004,Hyperoodon ampullatus,2
972,2004,Lagenorhynchus acutus,11
973,2004,Lagenorhynchus albirostris,12
974,2004,Megaptera novaeangliae,2
975,2004,Mesoplodon bidens,5
976,2004,Orcinus orca,1
977,2004,Phocoena phocoena,480
978,2004,Physeter macrocephalus,6
979,2004,Stenella coeruleoalba,11
980,2004,Tursiops truncatus,19
981,2004,Ziphius cavirostris,3
982,2005,Balaenoptera acutorostrata,18
983,2005,Balaenoptera physalus,1
984,2005,Delphinus delphis,111
985,2005,Globicephala melas,24
986,2005,Grampus griseus,16
987,2005,Hyperoodon ampullatus,2
988,2005,Kogia breviceps,1
989,2005,Lagenorhynchus acutus,15
990,2005,Lagenorhynchus albirostris,9
991,2005,Mesoplodon bidens,1
992,2005,Orcinus orca,2
993,2005,Phocoena phocoena,453
994,2005,Physeter macrocephalus,9
995,2005,Stenella coeruleoalba,11
996,2005,Tursiops truncatus,15
997,2005,Ziphius cavirostris,6
998,2006,Balaenoptera acutorostrata,20
999,2006,Balaenoptera borealis,1
1000,2006,Balaenoptera physalus,3
1001,2006,Delphinus delphis,155
1002,2006,Globicephala melas,24
1003,2006,Grampus griseus,7
1004,2006,Hyperoodon ampullatus,7
1005,2006,Lagenorhynchus acutus,22
1006,2006,Lagenorhynchus albirostris,16
1007,2006,Megaptera novaeangliae,5
1008,2006,Mesoplodon bidens,5
1009,2006,Phocoena phocoena,426
1010,2006,Physeter macrocephalus,11
1011,2006,Stenella coeruleoalba,26
1012,2006,Tursiops truncatus,19
1013,2006,Ziphius cavirostris,1
1014,2007,Balaenoptera acutorostrata,13
1015,2007,Balaenoptera physalus,5
1016,2007,Delphinus delphis,123
1017,2007,Globicephala melas,25
1018,2007,Grampus griseus,6
1019,2007,Hyperoodon ampullatus,5
1020,2007,Kogia breviceps,1
1021,2007,Lagenorhynchus acutus,42
1022,2007,Lagenorhynchus albirostris,4
1023,2007,Megaptera novaeangliae,4
1024,2007,Mesoplodon bidens,5
1025,2007,Orcinus orca,1
1026,2007,Phocoena phocoena,295
1027,2007,Physeter macrocephalus,4
1028,2007,Stenella coeruleoalba,19
1029,2007,Tursiops truncatus,18
1030,2007,Ziphius cavirostris,2
1031,2008,Balaenoptera acutorostrata,23
1032,2008,Balaenoptera physalus,4
1033,2008,Delphinus delphis,99
1034,2008,Globicephala melas,41
1035,2008,Grampus griseus,11
1036,2008,Hyperoodon ampullatus,3
1037,2008,Lagenorhynchus acutus,25
1038,2008,Lagenorhynchus albirostris,13
1039,2008,Mesoplodon bidens,7
1040,2008,Orcinus orca,1
1041,2008,Phocoena phocoena,291
1042,2008,Physeter macrocephalus,5
1043,2008,Stenella coeruleoalba,16
1044,2008,Tursiops truncatus,10
1045,2008,Ziphius cavirostris,21
1046,2009,Balaenoptera acutorostrata,13
1047,2009,Balaenoptera physalus,4
1048,2009,Delphinus delphis,73
1049,2009,Globicephala melas,17
1050,2009,Grampus griseus,10
1051,2009,Hyperoodon ampullatus,10
1052,2009,Kogia breviceps,2
1053,2009,Lagenorhynchus acutus,9
1054,2009,Lagenorhynchus albirostris,19
1055,2009,Megaptera novaeangliae,1
1056,2009,Mesoplodon bidens,6
1057,2009,Mesoplodon mirus,1
1058,2009,Phocoena phocoena,273
1059,2009,Physeter macrocephalus,8
1060,2009,Stenella coeruleoalba,22
1061,2009,Tursiops truncatus,25
1062,2009,Ziphius cavirostris,5
1063,2010,Balaenoptera acutorostrata,23
1064,2010,Balaenoptera physalus,1
1065,2010,Delphinus delphis,58
1066,2010,Globicephala melas,5
1067,2010,Grampus griseus,8
1068,2010,Lagenorhynchus acutus,7
1069,2010,Lagenorhynchus albirostris,14
1070,2010,Megaptera novaeangliae,2
1071,2010,Mesoplodon bidens,2
1072,2010,Orcinus orca,1
1073,2010,Phocoena phocoena,281
1074,2010,Physeter macrocephalus,5
1075,2010,Stenella coeruleoalba,16
1076,2010,Tursiops truncatus,9
1077,2011,Balaenoptera acutorostrata,14
1078,2011,Balaenoptera borealis,1
1079,2011,Balaenoptera physalus,5
1080,2011,Delphinus delphis,148
1081,2011,Globicephala melas,22
1082,2011,Grampus griseus,14
1083,2011,Hyperoodon ampullatus,2
1084,2011,Kogia breviceps,1
1085,2011,Lagenorhynchus acutus,21
1086,2011,Lagenorhynchus albirostris,11
1087,2011,Mesoplodon bidens,3
1088,2011,Orcinus orca,1
1089,2011,Phocoena phocoena,354
1090,2011,Physeter macrocephalus,11
1091,2011,Stenella coeruleoalba,25
1092,2011,Tursiops truncatus,21
1093,2011,Ziphius cavirostris,4
1094,2012,Balaenoptera acutorostrata,17
1095,2012,Balaenoptera borealis,2
1096,2012,Balaenoptera physalus,6
1097,2012,Delphinus delphis,126
1098,2012,Globicephala melas,44
1099,2012,Grampus griseus,10
1100,2012,Hyperoodon ampullatus,4
1101,2012,Lagenorhynchus acutus,10
1102,2012,Lagenorhynchus albirostris,18
1103,2012,Megaptera novaeangliae,1
1104,2012,Mesoplodon bidens,6
1105,2012,Orcinus orca,1
1106,2012,Phocoena phocoena,371
1107,2012,Physeter macrocephalus,7
1108,2012,Stenella coeruleoalba,19
1109,2012,Tursiops truncatus,20
1110,2012,Ziphius cavirostris,4
1111,2013,Balaenoptera acutorostrata,22
1112,2013,Balaenoptera physalus,3
1113,2013,Delphinus delphis,138
1114,2013,Globicephala melas,32
1115,2013,Grampus griseus,12
1116,2013,Kogia breviceps,2
1117,2013,Lagenorhynchus acutus,5
1118,2013,Lagenorhynchus albirostris,21
1119,2013,Megaptera novaeangliae,2
1120,2013,Mesoplodon bidens,4
1121,2013,Mesoplodon mirus,3
1122,2013,Phocoena phocoena,446
1123,2013,Physeter macrocephalus,7
1124,2013,Stenella coeruleoalba,28
1125,2013,Tursiops truncatus,16
1126,2013,Ziphius cavirostris,2
1127,2014,Balaenoptera acutorostrata,18
1128,2014,Delphinus delphis,133
1129,2014,Globicephala melas,33
1130,2014,Grampus griseus,5
1131,2014,Hyperoodon ampullatus,2
1132,2014,Kogia breviceps,2
1133,2014,Lagenorhynchus acutus,5
1134,2014,Lagenorhynchus albirostris,12
1135,2014,Megaptera novaeangliae,1
1136,2014,Mesoplodon bidens,3
1137,2014,Orcinus orca,1
1138,2014,Phocoena phocoena,362
1139,2014,Physeter macrocephalus,8
1140,2014,Stenella coeruleoalba,29
1141,2014,Tursiops truncatus,18
1142,2014,Ziphius cavirostris,12
1143,2015,Balaenoptera acutorostrata,22
1144,2015,Balaenoptera physalus,5
1145,2015,Delphinus delphis,163
1146,2015,Globicephala melas,41
1147,2015,Grampus griseus,18
1148,2015,Kogia breviceps,2
1149,2015,Lagenorhynchus acutus,5
1150,2015,Lagenorhynchus albirostris,15
1151,2015,Megaptera novaeangliae,1
1152,2015,Mesoplodon bidens,4
1153,2015,Orcinus orca,3
1154,2015,Phocoena phocoena,295
1155,2015,Physeter macrocephalus,9
1156,2015,Stenella coeruleoalba,22
1157,2015,Tursiops truncatus,15
1158,2015,Ziphius cavirostris,13
